                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 2.1918,                 1.9026,                 1.9121,                0.71446,                0.66274,                0.73595,                0.39064,                 2.3546,                 1.8001,                 1.7936,             0.00015677,             0.00015677,             0.00015677
                    125,                 2.2155,                 1.9533,                 1.8714,                0.79669,                 0.6576,                0.75636,                 0.3842,                 2.4197,                 1.7941,                 1.8378,             0.00015127,             0.00015127,             0.00015127
                    126,                 2.2339,                 1.8713,                 1.8828,                0.67792,                0.68898,                0.73097,                0.37353,                 2.4643,                 1.8497,                 1.8478,             0.00014577,             0.00014577,             0.00014577
                    127,                 2.1775,                 1.9775,                 1.9461,                0.40338,                0.72149,                0.62763,                0.30004,                 2.5819,                 2.4475,                 1.9118,             0.00014028,             0.00014028,             0.00014028
                    128,                 2.2641,                 1.8861,                 1.9118,                0.58338,                0.70114,                0.71071,                0.36376,                 2.4346,                 1.9079,                 1.8065,             0.00013478,             0.00013478,             0.00013478
                    129,                 2.2758,                 1.8798,                 1.8248,                 0.7862,                0.64594,                0.75593,                0.39208,                 2.3986,                 1.8339,                 1.7938,             0.00012928,             0.00012928,             0.00012928
                    130,                 2.2085,                 1.9339,                 1.9307,                0.70599,                0.64175,                0.73928,                0.37379,                  2.383,                 1.8108,                 1.7901,             0.00012378,             0.00012378,             0.00012378
                    131,                 2.1632,                 1.8837,                 1.8558,                0.63764,                0.69589,                0.76121,                0.36111,                 2.3807,                 1.7812,                 1.7927,             0.00011829,             0.00011829,             0.00011829
                    132,                 2.1921,                  1.909,                 1.9023,                 0.6955,                0.70956,                0.76634,                0.37039,                 2.3702,                 1.8439,                 1.7901,             0.00011279,             0.00011279,             0.00011279
                    133,                 2.2734,                 1.7201,                 1.7748,                0.61903,                0.73996,                0.76241,                0.37809,                 2.3708,                 2.0071,                 1.8104,             0.00010729,             0.00010729,             0.00010729
                    134,                 2.2041,                 1.8058,                 1.7976,                0.63158,                0.69545,                0.78095,                0.39889,                 2.3381,                 1.8549,                  1.786,             0.00010179,             0.00010179,             0.00010179
